"","ID","g","b","m","com","starting","c_1","c_2","c_12","c_21","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","rho_plus_sd_inter_replicates","rho_nurse_ini","rho_nurse","rho_nurse_sd","rho_nurse_sd_inter_replicates","rho_protege_ini","rho_protege","rho_protege_sd","rho_nurse_sd_inter_replicates.1","q_1_1","q_1_1_sd","q_1_1_inter_replicates","q_2_2","q_2_2_sd","q_2_2_inter_replicates","q_1_2","q_1_2_sd","q_1_2_inter_replicates","q_2_1","q_2_1_sd","q_2_1_inter_replicates","clus_1_1","clus_1_1_sd","clus_1_1_inter_replicates","clus_2_2","clus_2_2_sd","clus_2_2_inter_replicates","clus_1_2","clus_1_2_sd","clus_1_2_inter_replicates","clus_2_1","clus_2_1_sd","clus_2_1_inter_replicates","runtime.1"
"2874",2874,0.15,0.4,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,726.58,117.485864870819,0.5,0.741336491754123,0.00782005767358722,0.00283092460171374,0.25,0.00450972513743128,0.25,0.00520897189442413,0.25,0.736826766616692,0.25,0.00558193271203667,0.124564519497374,0.0983943562751594,0.0495730009661696,0.732391030232847,0.0103563052355963,0.00467552183689758,0.00346329196742588,0.00452821990932505,0.00395210265276011,0.61038044896248,0.150421176458856,0.0603498753519483,52.4635994086511,42.8664406000011,27.7796947414524,0.994016801779512,0.00119648825355869,0.00153825910689625,0.82901827145571,0.0406457187274813,0.080478455725394,0.82901827145571,0.0406457187274813,0.080478455725394,735.8
"2875",2875,0.2,0.9,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,1305,209.438551051774,0.5,0.955986706646677,0.00404589060160377,0.000369524339692712,0.25,0.00402288855572214,0.25,0.00512656675873196,0.25,0.951963818090955,0.25,0.00510422966715877,0.185247335750488,0.109475775493196,0.0568797015407494,0.953429042747359,0.00495621446790384,0.00353372932052498,0.00292100150308776,0.00234751096862638,0.00351250197256358,0.774596132140634,0.117124482053477,0.0589346059503876,65.4281834686374,44.1986869838221,42.9837229379026,1.00155614431878,0.00124423461312593,0.00170754140295558,0.814073439575213,0.021865849071678,0.0595907756160028,0.814073439575213,0.021865849071678,0.0595907756160028,1586.2
"2876",2876,0.2,0.8,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,1101.92,141.864699234478,0.5,0.945264487756122,0.0046818761883778,0.000428345629313333,0.25,0.00368599700149925,0.25,0.00349394971272332,0.25,0.941578490754623,0.25,0.00337299225296291,0.198089284047383,0.117597903996624,0.0765945513856156,0.943001445239672,0.00582987378518219,0.00264024140018246,0.00274317936715355,0.00270356945800398,0.00269691661182295,0.740525306690501,0.125646845445943,0.069141218989808,77.83869626215,33.7738875483845,31.8158627161768,1.00152210940035,0.000803848672513128,0.000813868774032607,0.78689637757503,0.0345699072165678,0.0730208499118084,0.78689637757503,0.0345699072165678,0.0730208499118084,1270.8
"2877",2877,0.2,0.7,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,1003.92,129.551884072238,0.5,0.927887596201899,0.00525466243862739,0.000928483292095492,0.25,0.00305383308345827,0.25,0.00290467780699309,0.25,0.924833763118441,0.25,0.00308915294918382,0.17592108805503,0.109376679463754,0.0584223083298546,0.92638353545292,0.00584780250341943,0.00231032390160854,0.00227770655171412,0.00220832741175282,0.00211874346568896,0.755364579403528,0.125382362454068,0.0552281650983555,79.6998092721849,42.3104386174004,64.3857713630032,1.00168383186033,0.000486087670991492,0.000942764193221379,0.81694403991771,0.0314974978994335,0.0592160499143303,0.81694403991771,0.0314974978994335,0.0592160499143303,922.2
"2878",2878,0.2,0.6,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,788.86,117.342312156452,0.5,0.895895792103948,0.00634607715087723,0.00180295428710762,0.25,0.00680667666166916,0.25,0.00863473657487607,0.25,0.889089115442279,0.25,0.0082632240103877,0.126910067719542,0.0969831506276416,0.0620705369640425,0.891721772189156,0.0095023695278688,0.00593702471885137,0.00507781763624798,0.00596550598084186,0.00613444819712808,0.773406757849493,0.123201791712378,0.071825298373844,50.2429952747789,40.5157263873574,46.2702843748312,1.00304827618662,0.00345214671733272,0.00282640376562063,0.869902464406441,0.0333516967928265,0.0763780442908769,0.869902464406441,0.0333516967928265,0.0763780442908769,797.2
"2879",2879,0.2,0.5,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,829.46,168.269969592517,0.5,0.821479740129935,0.00747756711438397,0.00220746113518172,0.25,0.0041384107946027,0.25,0.00423001429270575,0.25,0.817341329335332,0.25,0.00412616368626068,0.13897627190034,0.0777585028100666,0.0729616650268943,0.818393749502193,0.00895777048563295,0.00334445215606556,0.0032562886089952,0.00409311839686781,0.00325071084447486,0.71255578101444,0.120494496620844,0.070565687496477,47.23947934045,24.7855403627516,28.9891048103047,1.00131033438852,0.000863782177182266,0.00127924035420657,0.872461597724113,0.0476086348449159,0.0839108301781831,0.872461597724113,0.0476086348449159,0.0839108301781831,779.8
"2880",2880,0.2,0.4,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,1318.9,148.079175518444,0.5,0.589261329335332,0.00815262206919167,0.00251396551996662,0.25,0.00174650674662669,0.25,0.00114996408562166,0.25,0.587514822588706,0.25,0.00244010097160222,0.165266378858887,0.110738240156046,0.0793953923747944,0.558231518272788,0.00960803792457616,0.00212189708222838,0.00131934791571105,0.00132135043298475,0.000830951754321947,0.490141609477453,0.155243858259735,0.0871415048693275,71.658123573948,38.3105375381616,40.4686891172447,0.9501692772352,0.00108587578084784,0.00360446724461157,0.835056278477867,0.0779541468349719,0.147144934026246,0.835056278477867,0.0779541468349719,0.147144934026247,1265
"2881",2881,0.25,0.9,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,1763.22,336.774985215153,0.5,0.951139070464768,0.00429454801266416,0.000552493761953323,0.25,0.0017551824087956,0.25,0.00142698721903613,0.25,0.949383888055972,0.25,0.0016556614835746,0.205372960132154,0.121431153540682,0.0938571408356154,0.950291160804567,0.00436765483929292,0.00121829258359803,0.00124378209423214,0.000841084417489014,0.000946300062433027,0.747362354070551,0.133486969075921,0.091874335857755,112.869732611661,38.2864289710435,57.7736332326178,1.00095747993498,0.000208408807697293,0.00054102707761126,0.787410945987033,0.0273228664865604,0.0963486808990827,0.787410945987033,0.0273228664865605,0.0963486808990827,1277.4
"2882",2882,0.25,0.8,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,1266.44,220.680076128317,0.5,0.937791684157921,0.0046755817385759,0.000696980754034204,0.25,0.00397769115442279,0.25,0.00321042888002412,0.25,0.933813993003498,0.25,0.00314980509181987,0.22067501982727,0.106829045160378,0.0714723207014884,0.935464791071297,0.00551844801021922,0.00240997786024867,0.00295624105269997,0.0024126599468538,0.00242829262073567,0.729727263616151,0.117382912388283,0.071099198064917,89.6241156333694,39.0948345576944,43.458502214917,1.00177577146676,0.000588929820331251,0.000853884803354297,0.781577010400548,0.030611748580158,0.0754831166744778,0.781577010400548,0.030611748580158,0.0754831166744778,1182.8
"2883",2883,0.25,0.7,0.02,"poly",0.5,0.2,0.2,0.1,0.7,10,1120.44,194.92733232897,0.5,0.914913483258371,0.00570224681171144,0.000722941416822883,0.25,0.00325399300349825,0.25,0.00279903445779077,0.25,0.911659490254873,0.25,0.00314972827964055,0.197733198270763,0.109032133662686,0.0699284072275202,0.913270341563428,0.00627299932427945,0.0024976988554096,0.00241833512122082,0.00241717331668083,0.00206852524314488,0.724645402416739,0.125893577324149,0.0658161174806702,85.3625737317875,35.2089761275607,57.3922773463962,1.00177558528082,0.000660354439895818,0.000768264372194089,0.795405755610438,0.0453636741376514,0.0714196541543241,0.795405755610438,0.0453636741376514,0.0714196541543241,1093
