"","ID","del","m","n","b","cn","cp","cnp","cpn","g","rhop","rhon","Cnp"
"90",90,0.1,0.2,0,0.4,0.1,0.05,0.1,0.2,0,0.394,0,NA
"91",91,0.1,0.2,0,0.8,0.15,0.05,0.1,0.2,0,0.719,0,NA
"92",92,0.1,0.2,0,0.7,0.15,0.05,0.1,0.2,0,0.675,0,NA
"93",93,0.1,0.2,0,0.6,0.15,0.05,0.1,0.2,0,0.614,0,NA
"94",94,0.1,0.2,0,0.5,0.15,0.05,0.1,0.2,0,0.527,0,NA
"95",95,0.1,0.2,0,0.4,0.15,0.05,0.1,0.2,0,0.394,0,NA
"96",96,0.1,0.2,0,0.8,0.2,0.05,0.1,0.2,0,0.719,0,NA
"97",97,0.1,0.2,0,0.7,0.2,0.05,0.1,0.2,0,0.675,0,NA
"98",98,0.1,0.2,0,0.6,0.2,0.05,0.1,0.2,0,0.614,0,NA
"99",99,0.1,0.2,0,0.5,0.2,0.05,0.1,0.2,0,0.527,0,NA
"100",100,0.1,0.2,0,0.4,0.2,0.05,0.1,0.2,0,0.394,0,NA
"101",101,0.1,0.2,0,0.8,0.05,0.1,0.1,0.2,0,0,0.719,NA
"102",102,0.1,0.2,0,0.7,0.05,0.1,0.1,0.2,0,0,0.675,NA
"103",103,0.1,0.2,0,0.6,0.05,0.1,0.1,0.2,0,0,0.614,NA
"104",104,0.1,0.2,0,0.5,0.05,0.1,0.1,0.2,0,0,0.527,NA
"105",105,0.1,0.2,0,0.4,0.05,0.1,0.1,0.2,0,0,0.394,NA
"106",106,0.1,0.2,0,0.8,0.1,0.1,0.1,0.2,0,0.705,0,NA
"107",107,0.1,0.2,0,0.7,0.1,0.1,0.1,0.2,0,0.657,0,NA
"108",108,0.1,0.2,0,0.6,0.1,0.1,0.1,0.2,0,0.592,0,NA
"109",109,0.1,0.2,0,0.5,0.1,0.1,0.1,0.2,0,0.499,0,NA
"110",110,0.1,0.2,0,0.4,0.1,0.1,0.1,0.2,0,0.362,0,NA
"111",111,0.1,0.2,0,0.8,0.15,0.1,0.1,0.2,0,0.705,0,NA
"112",112,0.1,0.2,0,0.7,0.15,0.1,0.1,0.2,0,0.657,0,NA
"113",113,0.1,0.2,0,0.6,0.15,0.1,0.1,0.2,0,0.592,0,NA
"114",114,0.1,0.2,0,0.5,0.15,0.1,0.1,0.2,0,0.499,0,NA
"115",115,0.1,0.2,0,0.4,0.15,0.1,0.1,0.2,0,0.362,0,NA
"116",116,0.1,0.2,0,0.8,0.2,0.1,0.1,0.2,0,0.705,0,NA
"117",117,0.1,0.2,0,0.7,0.2,0.1,0.1,0.2,0,0.657,0,NA
"118",118,0.1,0.2,0,0.6,0.2,0.1,0.1,0.2,0,0.592,0,NA
